NAME,B23025_002E,state,county,year
"Stokes County, North Carolina",22158.0,37,169,2018
"Washington County, North Carolina",4847.0,37,187,2018
"Camden County, North Carolina",5077.0,37,029,2018
"Clay County, North Carolina",4496.0,37,043,2018
"Cumberland County, North Carolina",166848.0,37,051,2018
"Gaston County, North Carolina",106115.0,37,071,2018
"Guilford County, North Carolina",266387.0,37,081,2018
"Jackson County, North Carolina",19551.0,37,099,2018
"Moore County, North Carolina",44253.0,37,125,2018
"Robeson County, North Carolina",52264.0,37,155,2018
"Stanly County, North Carolina",30204.0,37,167,2018
"Wake County, North Carolina",577568.0,37,183,2018
"Yancey County, North Carolina",7776.0,37,199,2018
"Chatham County, North Carolina",33248.0,37,037,2018
"McDowell County, North Carolina",19853.0,37,111,2018
"Johnston County, North Carolina",94915.0,37,101,2018
"Jones County, North Carolina",4306.0,37,103,2018
"Person County, North Carolina",19820.0,37,145,2018
"Brunswick County, North Carolina",54326.0,37,019,2018
"Ashe County, North Carolina",13072.0,37,009,2018
"Beaufort County, North Carolina",20713.0,37,013,2018
"Lenoir County, North Carolina",26735.0,37,107,2018
"Rutherford County, North Carolina",28892.0,37,161,2018
"Lincoln County, North Carolina",40684.0,37,109,2018
"Onslow County, North Carolina",107156.0,37,133,2018
"Orange County, North Carolina",76548.0,37,135,2018
"Sampson County, North Carolina",29087.0,37,163,2018
"Yadkin County, North Carolina",16644.0,37,197,2018
"Avery County, North Carolina",7028.0,37,011,2018
"Burke County, North Carolina",42058.0,37,023,2018
"Caswell County, North Carolina",10247.0,37,033,2018
"Davie County, North Carolina",20421.0,37,059,2018
"Duplin County, North Carolina",26949.0,37,061,2018
"Durham County, North Carolina",167297.0,37,063,2018
"Lee County, North Carolina",29089.0,37,105,2018
"New Hanover County, North Carolina",116715.0,37,129,2018
"Wayne County, North Carolina",59419.0,37,191,2018
"Scotland County, North Carolina",13808.0,37,165,2018
"Halifax County, North Carolina",21288.0,37,083,2018
"Alamance County, North Carolina",80236.0,37,001,2018
"Burke County, North Dakota",1073.0,38,013,2018
"Mountrail County, North Dakota",4936.0,38,061,2018
"Williams County, North Dakota",18604.0,38,105,2018
"Billings County, North Dakota",519.0,38,007,2018
"Kidder County, North Dakota",1286.0,38,043,2018
"Cavalier County, North Dakota",1946.0,38,019,2018
"Grant County, North Dakota",1160.0,38,037,2018
"Pembina County, North Dakota",3597.0,38,067,2018
"Steele County, North Dakota",1013.0,38,091,2018
"Hettinger County, North Dakota",1170.0,38,041,2018
"LaMoure County, North Dakota",2063.0,38,045,2018
"Morton County, North Dakota",17841.0,38,059,2018
"Cass County, North Dakota",104996.0,38,017,2018
"Dunn County, North Dakota",2173.0,38,025,2018
"Emmons County, North Dakota",1530.0,38,029,2018
"McIntosh County, North Dakota",1398.0,38,051,2018
"Nelson County, North Dakota",1493.0,38,063,2018
"Richland County, North Dakota",8908.0,38,077,2018
"Rolette County, North Dakota",5661.0,38,079,2018
"Walsh County, North Dakota",5630.0,38,099,2018
"Adams County, North Dakota",1235.0,38,001,2018
"Bottineau County, North Dakota",3443.0,38,009,2018
"Barnes County, North Dakota",5995.0,38,003,2018
"Eddy County, North Dakota",1211.0,38,027,2018
"Grand Forks County, North Dakota",41260.0,38,035,2018
"McKenzie County, North Dakota",6641.0,38,053,2018
"Mercer County, North Dakota",4438.0,38,057,2018
"McLean County, North Dakota",4644.0,38,055,2018
