NAME,B19113A_001E,state,county,year
"New York County, New York",180382.0,36,061,2018
"Tioga County, New York",76173.0,36,107,2018
"Cayuga County, New York",70254.0,36,011,2018
"Orleans County, New York",59895.0,36,073,2018
"Saratoga County, New York",97676.0,36,091,2018
"Rockland County, New York",113648.0,36,087,2018
"Columbia County, New York",79681.0,36,021,2018
"Lewis County, New York",61465.0,36,049,2018
"Niagara County, New York",74946.0,36,063,2018
"Westchester County, New York",142763.0,36,119,2018
"Delaware County, New York",62214.0,36,025,2018
"Essex County, New York",69829.0,36,031,2018
"Montgomery County, New York",59468.0,36,057,2018
"Nassau County, New York",138799.0,36,059,2018
"Richmond County, New York",101621.0,36,085,2018
"Schuyler County, New York",68672.0,36,097,2018
"Tompkins County, New York",85550.0,36,109,2018
"Chenango County, New York",61168.0,36,017,2018
"Cortland County, New York",69318.0,36,023,2018
"Jefferson County, New York",63259.0,36,045,2018
"Oneida County, New York",72158.0,36,065,2018
"Suffolk County, New York",117790.0,36,103,2018
"Wyoming County, New York",70681.0,36,121,2018
"Chemung County, New York",70525.0,36,015,2018
"Oswego County, New York",65232.0,36,075,2018
"Otsego County, New York",66925.0,36,077,2018
"Wayne County, New York",68841.0,36,117,2018
"Albany County, New York",100729.0,36,001,2018
"Broome County, New York",69431.0,36,007,2018
"Erie County, New York",83946.0,36,029,2018
"Madison County, New York",73038.0,36,053,2018
"Sullivan County, New York",73289.0,36,105,2018
"Mitchell County, North Carolina",56880.0,37,121,2018
"Genesee County, New York",77188.0,36,037,2018
"Orange County, New York",99381.0,36,071,2018
"Greene County, North Carolina",55956.0,37,079,2018
"Chowan County, North Carolina",53160.0,37,041,2018
"Caldwell County, North Carolina",54524.0,37,027,2018
"Catawba County, North Carolina",67017.0,37,035,2018
"Craven County, North Carolina",68849.0,37,049,2018
"Edgecombe County, North Carolina",59426.0,37,065,2018
"Harnett County, North Carolina",66485.0,37,085,2018
"Henderson County, North Carolina",68512.0,37,089,2018
"Hyde County, North Carolina",72279.0,37,095,2018
"Mecklenburg County, North Carolina",102328.0,37,119,2018
"Northampton County, North Carolina",57013.0,37,131,2018
"Rowan County, North Carolina",64167.0,37,159,2018
"Vance County, North Carolina",61432.0,37,181,2018
"Currituck County, North Carolina",77579.0,37,053,2018
"Union County, North Carolina",89141.0,37,179,2018
"Forsyth County, North Carolina",75361.0,37,067,2018
"Nash County, North Carolina",75435.0,37,127,2018
"Bladen County, North Carolina",54256.0,37,017,2018
"Dare County, North Carolina",70097.0,37,055,2018
"Warren County, North Carolina",57587.0,37,185,2018
"Wilson County, North Carolina",75131.0,37,195,2018
"Bertie County, North Carolina",69675.0,37,015,2018
"Gates County, North Carolina",69180.0,37,073,2018
"Graham County, North Carolina",48407.0,37,075,2018
"Martin County, North Carolina",58329.0,37,117,2018
"Madison County, North Carolina",55037.0,37,115,2018
"Pamlico County, North Carolina",64881.0,37,137,2018
"Perquimans County, North Carolina",67125.0,37,143,2018
"Polk County, North Carolina",63871.0,37,149,2018
"Randolph County, North Carolina",57339.0,37,151,2018
"Rockingham County, North Carolina",58310.0,37,157,2018
"Stokes County, North Carolina",56897.0,37,169,2018
"Washington County, North Carolina",56197.0,37,187,2018
"Camden County, North Carolina",75778.0,37,029,2018
"Clay County, North Carolina",47361.0,37,043,2018
"Cumberland County, North Carolina",62143.0,37,051,2018
"Gaston County, North Carolina",65762.0,37,071,2018
"Guilford County, North Carolina",82395.0,37,081,2018
"Jackson County, North Carolina",63033.0,37,099,2018
"Moore County, North Carolina",81082.0,37,125,2018
"Robeson County, North Carolina",53583.0,37,155,2018
"Stanly County, North Carolina",63567.0,37,167,2018
