NAME,B19301D_001E,state,county,year
"Dawes County, Nebraska",5661.0,31,045,2018
"Cheyenne County, Nebraska",20425.0,31,033,2018
"Dawson County, Nebraska",10818.0,31,047,2018
"Valley County, Nebraska",-666666666.0,31,175,2018
"McPherson County, Nebraska",-666666666.0,31,117,2018
"Nance County, Nebraska",,31,125,2018
"Stanton County, Nebraska",34346.0,31,167,2018
"Harlan County, Nebraska",32358.0,31,083,2018
"Blaine County, Nebraska",-666666666.0,31,009,2018
"Buffalo County, Nebraska",33096.0,31,019,2018
"Deuel County, Nebraska",23254.0,31,049,2018
"Hitchcock County, Nebraska",-666666666.0,31,087,2018
"Platte County, Nebraska",26597.0,31,141,2018
"Thayer County, Nebraska",-666666666.0,31,169,2018
"Box Butte County, Nebraska",,31,013,2018
"Churchill County, Nevada",20080.0,32,001,2018
"Douglas County, Nevada",38919.0,32,005,2018
"Pershing County, Nevada",10686.0,32,027,2018
"Esmeralda County, Nevada",-666666666.0,32,009,2018
"Humboldt County, Nevada",32620.0,32,013,2018
"Mineral County, Nevada",11331.0,32,021,2018
"White Pine County, Nevada",64377.0,32,033,2018
"Elko County, Nevada",26959.0,32,007,2018
"Lincoln County, Nevada",,32,017,2018
"Nye County, Nevada",14941.0,32,023,2018
"Storey County, Nevada",36950.0,32,029,2018
"Washoe County, Nevada",31062.0,32,031,2018
"Clark County, Nevada",31163.0,32,003,2018
"Carson City, Nevada",37011.0,32,510,2018
"Lyon County, Nevada",24026.0,32,019,2018
"Cheshire County, New Hampshire",36642.0,33,005,2018
"Merrimack County, New Hampshire",30277.0,33,013,2018
"Grafton County, New Hampshire",26828.0,33,009,2018
"Rockingham County, New Hampshire",43563.0,33,015,2018
"Belknap County, New Hampshire",39535.0,33,001,2018
"Sullivan County, New Hampshire",49475.0,33,019,2018
"Hillsborough County, New Hampshire",41685.0,33,011,2018
"Strafford County, New Hampshire",31990.0,33,017,2018
"Coos County, New Hampshire",26421.0,33,007,2018
"Carroll County, New Hampshire",57972.0,33,003,2018
"Monmouth County, New Jersey",53979.0,34,025,2018
"Sussex County, New Jersey",49014.0,34,037,2018
"Cumberland County, New Jersey",25650.0,34,011,2018
"Essex County, New Jersey",53345.0,34,013,2018
"Ocean County, New Jersey",41920.0,34,029,2018
"Gloucester County, New Jersey",36887.0,34,015,2018
"Salem County, New Jersey",25688.0,34,033,2018
"Passaic County, New Jersey",35755.0,34,031,2018
"Camden County, New Jersey",37124.0,34,007,2018
"Bergen County, New Jersey",46415.0,34,003,2018
"Warren County, New Jersey",34311.0,34,041,2018
"Hudson County, New Jersey",50568.0,34,017,2018
"Burlington County, New Jersey",47770.0,34,005,2018
"Morris County, New Jersey",52937.0,34,027,2018
"Rio Arriba County, New Mexico",,35,039,2018
"San Miguel County, New Mexico",16933.0,35,047,2018
"Torrance County, New Mexico",21789.0,35,057,2018
"Otero County, New Mexico",22341.0,35,035,2018
"Cibola County, New Mexico",9717.0,35,006,2018
"Guadalupe County, New Mexico",-666666666.0,35,019,2018
"Catron County, New Mexico",,35,003,2018
"Grant County, New Mexico",41422.0,35,017,2018
"Luna County, New Mexico",19971.0,35,029,2018
"McKinley County, New Mexico",26630.0,35,031,2018
"Taos County, New Mexico",23586.0,35,055,2018
"Colfax County, New Mexico",52821.0,35,007,2018
"Eddy County, New Mexico",33976.0,35,015,2018
"Mora County, New Mexico",-666666666.0,35,033,2018
"Quay County, New Mexico",21239.0,35,037,2018
"Lincoln County, New Mexico",32195.0,35,027,2018
"Lea County, New Mexico",31961.0,35,025,2018
"Santa Fe County, New Mexico",51969.0,35,049,2018
"Sierra County, New Mexico",27696.0,35,051,2018
"Socorro County, New Mexico",19789.0,35,053,2018
"Doña Ana County, New Mexico",26831.0,35,013,2018
"Schoharie County, New York",27614.0,36,095,2018
"Onondaga County, New York",25156.0,36,067,2018
"Clinton County, New York",16904.0,36,019,2018
"Seneca County, New York",23269.0,36,099,2018
"Putnam County, New York",51045.0,36,079,2018
"Franklin County, New York",70366.0,36,033,2018
"Ontario County, New York",24240.0,36,069,2018
"Queens County, New York",27161.0,36,081,2018
"Steuben County, New York",61124.0,36,101,2018
"Hamilton County, New York",,36,041,2018
"Washington County, New York",38315.0,36,115,2018
"Chautauqua County, New York",22457.0,36,013,2018
"Kings County, New York",27375.0,36,047,2018
"New York County, New York",68197.0,36,061,2018
"Tioga County, New York",28225.0,36,107,2018
"Cayuga County, New York",28664.0,36,011,2018
"Orleans County, New York",28075.0,36,073,2018
"Saratoga County, New York",50484.0,36,091,2018
"Rockland County, New York",47784.0,36,087,2018
"Columbia County, New York",33014.0,36,021,2018
"Lewis County, New York",8368.0,36,049,2018
"Niagara County, New York",21012.0,36,063,2018
"Westchester County, New York",60763.0,36,119,2018
"Delaware County, New York",26322.0,36,025,2018
"Essex County, New York",26546.0,36,031,2018
"Montgomery County, New York",14376.0,36,057,2018
"Nassau County, New York",47169.0,36,059,2018
"Richmond County, New York",34002.0,36,085,2018
"Schuyler County, New York",11618.0,36,097,2018
"Tompkins County, New York",24374.0,36,109,2018
"Chenango County, New York",28532.0,36,017,2018
"Cortland County, New York",19322.0,36,023,2018
"Jefferson County, New York",27537.0,36,045,2018
"Oneida County, New York",20392.0,36,065,2018
"Suffolk County, New York",40046.0,36,103,2018
"Wyoming County, New York",14866.0,36,121,2018
"Chemung County, New York",53520.0,36,015,2018
"Oswego County, New York",28796.0,36,075,2018
"Otsego County, New York",24685.0,36,077,2018
"Wayne County, New York",30705.0,36,117,2018
"Albany County, New York",33409.0,36,001,2018
"Broome County, New York",22729.0,36,007,2018
"Erie County, New York",27204.0,36,029,2018
"Madison County, New York",17199.0,36,053,2018
"Sullivan County, New York",27675.0,36,105,2018
"Mitchell County, North Carolina",,37,121,2018
"Genesee County, New York",37555.0,36,037,2018
"Orange County, New York",41885.0,36,071,2018
"Greene County, North Carolina",,37,079,2018
"Chowan County, North Carolina",,37,041,2018
"Caldwell County, North Carolina",23507.0,37,027,2018
"Catawba County, North Carolina",17676.0,37,035,2018
"Craven County, North Carolina",18769.0,37,049,2018
"Edgecombe County, North Carolina",74836.0,37,065,2018
"Harnett County, North Carolina",23852.0,37,085,2018
"Henderson County, North Carolina",21122.0,37,089,2018
"Hyde County, North Carolina",-666666666.0,37,095,2018
"Mecklenburg County, North Carolina",35351.0,37,119,2018
"Northampton County, North Carolina",7884.0,37,131,2018
"Rowan County, North Carolina",26724.0,37,159,2018
"Vance County, North Carolina",14403.0,37,181,2018
"Currituck County, North Carolina",25786.0,37,053,2018
"Union County, North Carolina",42773.0,37,179,2018
