NAME,B19301B_001E,state,county,year
"Clay County, Nebraska",,31,035,2018
"Custer County, Nebraska",,31,041,2018
"Gage County, Nebraska",35698.0,31,067,2018
"Hamilton County, Nebraska",,31,081,2018
"Kearney County, Nebraska",,31,099,2018
"Keith County, Nebraska",27140.0,31,101,2018
"Madison County, Nebraska",12892.0,31,119,2018
"Perkins County, Nebraska",,31,135,2018
"Saunders County, Nebraska",11877.0,31,155,2018
"Wayne County, Nebraska",5570.0,31,179,2018
"Keya Paha County, Nebraska",-666666666.0,31,103,2018
"Knox County, Nebraska",13270.0,31,107,2018
"Lincoln County, Nebraska",15522.0,31,111,2018
"Pierce County, Nebraska",,31,139,2018
"Sioux County, Nebraska",,31,165,2018
"Cass County, Nebraska",14042.0,31,025,2018
"Dixon County, Nebraska",13850.0,31,051,2018
"Dundy County, Nebraska",,31,057,2018
"Greeley County, Nebraska",,31,077,2018
"Hall County, Nebraska",32061.0,31,079,2018
"Otoe County, Nebraska",22082.0,31,131,2018
"Red Willow County, Nebraska",4193.0,31,145,2018
"Dawes County, Nebraska",15752.0,31,045,2018
"Cheyenne County, Nebraska",18730.0,31,033,2018
"Dawson County, Nebraska",17188.0,31,047,2018
"Valley County, Nebraska",,31,175,2018
"McPherson County, Nebraska",-666666666.0,31,117,2018
"Nance County, Nebraska",,31,125,2018
"Stanton County, Nebraska",22962.0,31,167,2018
"Harlan County, Nebraska",98493.0,31,083,2018
"Blaine County, Nebraska",-666666666.0,31,009,2018
"Buffalo County, Nebraska",14864.0,31,019,2018
"Deuel County, Nebraska",,31,049,2018
"Hitchcock County, Nebraska",,31,087,2018
"Platte County, Nebraska",30270.0,31,141,2018
"Thayer County, Nebraska",9326.0,31,169,2018
"Box Butte County, Nebraska",27479.0,31,013,2018
"Churchill County, Nevada",18088.0,32,001,2018
"Douglas County, Nevada",12160.0,32,005,2018
"Pershing County, Nevada",4276.0,32,027,2018
"Esmeralda County, Nevada",,32,009,2018
"Humboldt County, Nevada",29467.0,32,013,2018
"Mineral County, Nevada",9969.0,32,021,2018
"White Pine County, Nevada",5837.0,32,033,2018
"Elko County, Nevada",17094.0,32,007,2018
"Lincoln County, Nevada",3679.0,32,017,2018
"Nye County, Nevada",23526.0,32,023,2018
"Storey County, Nevada",17544.0,32,029,2018
"Washoe County, Nevada",25066.0,32,031,2018
"Clark County, Nevada",22133.0,32,003,2018
"Carson City, Nevada",13791.0,32,510,2018
"Lyon County, Nevada",31448.0,32,019,2018
"Cheshire County, New Hampshire",14542.0,33,005,2018
"Merrimack County, New Hampshire",18392.0,33,013,2018
"Grafton County, New Hampshire",16879.0,33,009,2018
"Rockingham County, New Hampshire",44149.0,33,015,2018
"Belknap County, New Hampshire",16707.0,33,001,2018
"Sullivan County, New Hampshire",27460.0,33,019,2018
"Hillsborough County, New Hampshire",23119.0,33,011,2018
"Strafford County, New Hampshire",22205.0,33,017,2018
"Coos County, New Hampshire",5706.0,33,007,2018
"Carroll County, New Hampshire",5806.0,33,003,2018
"Monmouth County, New Jersey",28182.0,34,025,2018
"Sussex County, New Jersey",34449.0,34,037,2018
"Cumberland County, New Jersey",17872.0,34,011,2018
"Essex County, New Jersey",23676.0,34,013,2018
"Ocean County, New Jersey",31508.0,34,029,2018
"Gloucester County, New Jersey",29930.0,34,015,2018
"Salem County, New Jersey",19606.0,34,033,2018
"Passaic County, New Jersey",22099.0,34,031,2018
"Camden County, New Jersey",24635.0,34,007,2018
"Bergen County, New Jersey",36661.0,34,003,2018
"Warren County, New Jersey",33989.0,34,041,2018
"Hudson County, New Jersey",26658.0,34,017,2018
"Burlington County, New Jersey",31259.0,34,005,2018
"Morris County, New Jersey",40034.0,34,027,2018
"Rio Arriba County, New Mexico",,35,039,2018
"San Miguel County, New Mexico",8556.0,35,047,2018
"Torrance County, New Mexico",11729.0,35,057,2018
"Otero County, New Mexico",17264.0,35,035,2018
"Cibola County, New Mexico",61464.0,35,006,2018
"Guadalupe County, New Mexico",4254.0,35,019,2018
"Catron County, New Mexico",-666666666.0,35,003,2018
"Grant County, New Mexico",5964.0,35,017,2018
"Luna County, New Mexico",23890.0,35,029,2018
"McKinley County, New Mexico",24281.0,35,031,2018
"Taos County, New Mexico",59149.0,35,055,2018
"Colfax County, New Mexico",8037.0,35,007,2018
"Eddy County, New Mexico",31412.0,35,015,2018
"Mora County, New Mexico",,35,033,2018
"Quay County, New Mexico",10894.0,35,037,2018
"Lincoln County, New Mexico",16435.0,35,027,2018
"Lea County, New Mexico",16300.0,35,025,2018
"Santa Fe County, New Mexico",39386.0,35,049,2018
"Sierra County, New Mexico",44032.0,35,051,2018
"Socorro County, New Mexico",20054.0,35,053,2018
"Doña Ana County, New Mexico",35164.0,35,013,2018
"Schoharie County, New York",11217.0,36,095,2018
"Onondaga County, New York",17610.0,36,067,2018
"Clinton County, New York",5625.0,36,019,2018
"Seneca County, New York",6923.0,36,099,2018
"Putnam County, New York",52314.0,36,079,2018
"Franklin County, New York",3834.0,36,033,2018
"Ontario County, New York",17911.0,36,069,2018
"Queens County, New York",28705.0,36,081,2018
"Steuben County, New York",20986.0,36,101,2018
"Hamilton County, New York",9511.0,36,041,2018
"Washington County, New York",4143.0,36,115,2018
"Chautauqua County, New York",11728.0,36,013,2018
"Kings County, New York",24955.0,36,047,2018
"New York County, New York",27612.0,36,061,2018
"Tioga County, New York",14570.0,36,107,2018
"Cayuga County, New York",7327.0,36,011,2018
"Orleans County, New York",14759.0,36,073,2018
"Saratoga County, New York",30005.0,36,091,2018
"Rockland County, New York",33004.0,36,087,2018
"Columbia County, New York",18778.0,36,021,2018
"Lewis County, New York",20824.0,36,049,2018
"Niagara County, New York",17134.0,36,063,2018
"Westchester County, New York",32054.0,36,119,2018
"Delaware County, New York",9683.0,36,025,2018
"Essex County, New York",5939.0,36,031,2018
"Montgomery County, New York",15376.0,36,057,2018
"Nassau County, New York",34305.0,36,059,2018
"Richmond County, New York",23781.0,36,085,2018
"Schuyler County, New York",14180.0,36,097,2018
"Tompkins County, New York",14626.0,36,109,2018
"Chenango County, New York",55446.0,36,017,2018
"Cortland County, New York",24858.0,36,023,2018
"Jefferson County, New York",20129.0,36,045,2018
"Oneida County, New York",18063.0,36,065,2018
"Suffolk County, New York",27845.0,36,103,2018
"Wyoming County, New York",5961.0,36,121,2018
"Chemung County, New York",12168.0,36,015,2018
"Oswego County, New York",13275.0,36,075,2018
"Otsego County, New York",23211.0,36,077,2018
"Wayne County, New York",17606.0,36,117,2018
"Albany County, New York",19828.0,36,001,2018
"Broome County, New York",14768.0,36,007,2018
"Erie County, New York",19760.0,36,029,2018
"Madison County, New York",18331.0,36,053,2018
"Sullivan County, New York",15331.0,36,105,2018
"Mitchell County, North Carolina",2119.0,37,121,2018
"Genesee County, New York",20739.0,36,037,2018
"Orange County, New York",28394.0,36,071,2018
"Greene County, North Carolina",16716.0,37,079,2018
"Chowan County, North Carolina",18732.0,37,041,2018
"Caldwell County, North Carolina",13012.0,37,027,2018
"Catawba County, North Carolina",17455.0,37,035,2018
"Craven County, North Carolina",17791.0,37,049,2018
"Edgecombe County, North Carolina",17250.0,37,065,2018
"Harnett County, North Carolina",18518.0,37,085,2018
"Henderson County, North Carolina",22597.0,37,089,2018
"Hyde County, North Carolina",8967.0,37,095,2018
"Mecklenburg County, North Carolina",24602.0,37,119,2018
"Northampton County, North Carolina",16712.0,37,131,2018
"Rowan County, North Carolina",18315.0,37,159,2018
"Vance County, North Carolina",21110.0,37,181,2018
"Currituck County, North Carolina",34979.0,37,053,2018
"Union County, North Carolina",26630.0,37,179,2018
"Forsyth County, North Carolina",19990.0,37,067,2018
"Nash County, North Carolina",21128.0,37,127,2018
"Bladen County, North Carolina",12556.0,37,017,2018
"Dare County, North Carolina",26586.0,37,055,2018
"Warren County, North Carolina",17398.0,37,185,2018
"Wilson County, North Carolina",17495.0,37,195,2018
"Bertie County, North Carolina",15064.0,37,015,2018
"Gates County, North Carolina",20550.0,37,073,2018
"Graham County, North Carolina",9969.0,37,075,2018
"Martin County, North Carolina",18749.0,37,117,2018
"Madison County, North Carolina",7298.0,37,115,2018
"Pamlico County, North Carolina",21124.0,37,137,2018
"Perquimans County, North Carolina",15531.0,37,143,2018
"Polk County, North Carolina",14496.0,37,149,2018
"Randolph County, North Carolina",17573.0,37,151,2018
"Rockingham County, North Carolina",17444.0,37,157,2018
"Stokes County, North Carolina",20549.0,37,169,2018
"Washington County, North Carolina",19311.0,37,187,2018
"Camden County, North Carolina",24135.0,37,029,2018
"Clay County, North Carolina",22262.0,37,043,2018
"Cumberland County, North Carolina",21508.0,37,051,2018
"Gaston County, North Carolina",21288.0,37,071,2018
"Guilford County, North Carolina",20042.0,37,081,2018
"Jackson County, North Carolina",9997.0,37,099,2018
"Moore County, North Carolina",18884.0,37,125,2018
"Robeson County, North Carolina",15127.0,37,155,2018
"Stanly County, North Carolina",14938.0,37,167,2018
"Wake County, North Carolina",25771.0,37,183,2018
"Yancey County, North Carolina",29695.0,37,199,2018
"Chatham County, North Carolina",23032.0,37,037,2018
"McDowell County, North Carolina",13316.0,37,111,2018
"Johnston County, North Carolina",21078.0,37,101,2018
"Jones County, North Carolina",16355.0,37,103,2018
"Person County, North Carolina",21124.0,37,145,2018
"Brunswick County, North Carolina",18851.0,37,019,2018
"Ashe County, North Carolina",19216.0,37,009,2018
"Beaufort County, North Carolina",16720.0,37,013,2018
"Lenoir County, North Carolina",17684.0,37,107,2018
"Rutherford County, North Carolina",14043.0,37,161,2018
"Lincoln County, North Carolina",19439.0,37,109,2018
"Onslow County, North Carolina",23604.0,37,133,2018
"Orange County, North Carolina",23284.0,37,135,2018
"Sampson County, North Carolina",16132.0,37,163,2018
"Yadkin County, North Carolina",19064.0,37,197,2018
"Avery County, North Carolina",3784.0,37,011,2018
"Burke County, North Carolina",15747.0,37,023,2018
"Caswell County, North Carolina",19294.0,37,033,2018
"Davie County, North Carolina",18323.0,37,059,2018
"Duplin County, North Carolina",14536.0,37,061,2018
"Durham County, North Carolina",24972.0,37,063,2018
"Lee County, North Carolina",17413.0,37,105,2018
"New Hanover County, North Carolina",18588.0,37,129,2018
"Wayne County, North Carolina",18373.0,37,191,2018
"Scotland County, North Carolina",13377.0,37,165,2018
"Halifax County, North Carolina",16898.0,37,083,2018
"Alamance County, North Carolina",20393.0,37,001,2018
"Burke County, North Dakota",,38,013,2018
"Mountrail County, North Dakota",18442.0,38,061,2018
"Williams County, North Dakota",30175.0,38,105,2018
"Billings County, North Dakota",,38,007,2018
"Kidder County, North Dakota",,38,043,2018
"Cavalier County, North Dakota",,38,019,2018
"Grant County, North Dakota",,38,037,2018
"Pembina County, North Dakota",,38,067,2018
"Steele County, North Dakota",,38,091,2018
"Hettinger County, North Dakota",,38,041,2018
"LaMoure County, North Dakota",,38,045,2018
"Morton County, North Dakota",29254.0,38,059,2018
"Cass County, North Dakota",14630.0,38,017,2018
"Dunn County, North Dakota",15841.0,38,025,2018
"Emmons County, North Dakota",-666666666.0,38,029,2018
"McIntosh County, North Dakota",,38,051,2018
"Nelson County, North Dakota",,38,063,2018
"Richland County, North Dakota",19185.0,38,077,2018
"Rolette County, North Dakota",3957.0,38,079,2018
"Walsh County, North Dakota",3045.0,38,099,2018
"Adams County, North Dakota",12302.0,38,001,2018
"Bottineau County, North Dakota",16689.0,38,009,2018
"Barnes County, North Dakota",31572.0,38,003,2018
"Eddy County, North Dakota",-666666666.0,38,027,2018
"Grand Forks County, North Dakota",16489.0,38,035,2018
"McKenzie County, North Dakota",25896.0,38,053,2018
"Mercer County, North Dakota",,38,057,2018
"McLean County, North Dakota",28042.0,38,055,2018
"Pierce County, North Dakota",20091.0,38,069,2018
"Ransom County, North Dakota",,38,073,2018
"Sioux County, North Dakota",,38,085,2018
"Bowman County, North Dakota",,38,011,2018
"Golden Valley County, North Dakota",-666666666.0,38,033,2018
"Logan County, North Dakota",,38,047,2018
"Towner County, North Dakota",-666666666.0,38,095,2018
"Stutsman County, North Dakota",14789.0,38,093,2018
"Divide County, North Dakota",,38,023,2018
"Foster County, North Dakota",,38,031,2018
"Sargent County, North Dakota",48447.0,38,081,2018
"Slope County, North Dakota",,38,087,2018
"Stark County, North Dakota",30155.0,38,089,2018
"Gallia County, Ohio",18157.0,39,053,2018
"Huron County, Ohio",15305.0,39,077,2018
"Athens County, Ohio",16679.0,39,009,2018
"Adams County, Ohio",44894.0,39,001,2018
"Medina County, Ohio",26397.0,39,103,2018
"Union County, Ohio",27660.0,39,159,2018
"Champaign County, Ohio",19447.0,39,021,2018
"Paulding County, Ohio",26927.0,39,125,2018
"Greene County, Ohio",21909.0,39,057,2018
"Franklin County, Ohio",19911.0,39,049,2018
"Marion County, Ohio",13391.0,39,101,2018
"Morgan County, Ohio",15724.0,39,115,2018
"Wayne County, Ohio",20323.0,39,169,2018
"Wyandot County, Ohio",22621.0,39,175,2018
"Butler County, Ohio",25790.0,39,017,2018
"Harrison County, Ohio",22959.0,39,067,2018
"Knox County, Ohio",21580.0,39,083,2018
"Richland County, Ohio",11947.0,39,139,2018
"Vinton County, Ohio",3448.0,39,163,2018
"Hancock County, Ohio",28027.0,39,063,2018
"Fairfield County, Ohio",27172.0,39,045,2018
"Defiance County, Ohio",19942.0,39,039,2018
"Henry County, Ohio",13982.0,39,069,2018
"Jefferson County, Ohio",20097.0,39,081,2018
"Putnam County, Ohio",22068.0,39,137,2018
"Clinton County, Ohio",68430.0,39,027,2018
"Fayette County, Ohio",21944.0,39,047,2018
"Pickaway County, Ohio",7975.0,39,129,2018
"Logan County, Ohio",29556.0,39,091,2018
"Summit County, Ohio",20300.0,39,153,2018
"Sandusky County, Ohio",15358.0,39,143,2018
"Shelby County, Ohio",14640.0,39,149,2018
"Cottonwood County, Minnesota",12971.0,27,033,2018
"Scott County, Minnesota",20658.0,27,139,2018
"Dodge County, Minnesota",16680.0,27,039,2018
"Wabasha County, Minnesota",16567.0,27,157,2018
"Pipestone County, Minnesota",9844.0,27,117,2018
"Crow Wing County, Minnesota",14340.0,27,035,2018
"Norman County, Minnesota",3251.0,27,107,2018
"Wright County, Minnesota",28524.0,27,171,2018
"Nicollet County, Minnesota",8909.0,27,103,2018
"Douglas County, Minnesota",56311.0,27,041,2018
"Grant County, Minnesota",,27,051,2018
"Kittson County, Minnesota",4555.0,27,069,2018
"Le Sueur County, Minnesota",7761.0,27,079,2018
"Mahnomen County, Minnesota",14071.0,27,087,2018
"Chisago County, Minnesota",11740.0,27,025,2018
"Redwood County, Minnesota",12912.0,27,127,2018
"Yellow Medicine County, Minnesota",16024.0,27,173,2018
"Todd County, Minnesota",6680.0,27,153,2018
"Beltrami County, Minnesota",11905.0,27,007,2018
"Blue Earth County, Minnesota",13425.0,27,013,2018
"Houston County, Minnesota",14103.0,27,055,2018
"Lac qui Parle County, Minnesota",14575.0,27,073,2018
"Lake of the Woods County, Minnesota",,27,077,2018
"Otter Tail County, Minnesota",16495.0,27,111,2018
"Waseca County, Minnesota",10895.0,27,161,2018
"St. Louis County, Minnesota",17018.0,27,137,2018
"Anoka County, Minnesota",20199.0,27,003,2018
"Stearns County, Minnesota",11637.0,27,145,2018
"Lincoln County, Minnesota",14787.0,27,081,2018
"Marshall County, Minnesota",16064.0,27,089,2018
"Mille Lacs County, Minnesota",7706.0,27,095,2018
"Washington County, Minnesota",22104.0,27,163,2018
"Carlton County, Minnesota",8827.0,27,017,2018
"Kanabec County, Minnesota",15071.0,27,065,2018
"Koochiching County, Minnesota",2723.0,27,071,2018
"Red Lake County, Minnesota",,27,125,2018
"Morrison County, Minnesota",4255.0,27,097,2018
"Rice County, Minnesota",9348.0,27,131,2018
"Steele County, Minnesota",10687.0,27,147,2018
"Aitkin County, Minnesota",11879.0,27,001,2018
"Faribault County, Minnesota",16504.0,27,043,2018
"Murray County, Minnesota",23243.0,27,101,2018
"Kandiyohi County, Minnesota",10544.0,27,067,2018
"Lake County, Minnesota",22524.0,27,075,2018
"Rock County, Minnesota",25536.0,27,133,2018
"Sibley County, Minnesota",10419.0,27,143,2018
"Traverse County, Minnesota",12259.0,27,155,2018
"Becker County, Minnesota",11063.0,27,005,2018
"Hennepin County, Minnesota",18156.0,27,053,2018
"Brown County, Minnesota",14134.0,27,015,2018
"Chippewa County, Minnesota",16313.0,27,023,2018
"Clearwater County, Minnesota",36400.0,27,029,2018
"Hubbard County, Minnesota",8378.0,27,057,2018
"Isanti County, Minnesota",16247.0,27,059,2018
"Martin County, Minnesota",2938.0,27,091,2018
"Mower County, Minnesota",15622.0,27,099,2018
"Pine County, Minnesota",13698.0,27,115,2018
"Olmsted County, Minnesota",14834.0,27,109,2018
"Wadena County, Minnesota",10203.0,27,159,2018
"Benton County, Minnesota",12735.0,27,009,2018
"Freeborn County, Minnesota",9427.0,27,047,2018
"McLeod County, Minnesota",19015.0,27,085,2018
"Pope County, Minnesota",24383.0,27,121,2018
"Stevens County, Minnesota",66859.0,27,149,2018
"Swift County, Minnesota",10287.0,27,151,2018
"Holmes County, Mississippi",11559.0,28,051,2018
"Amite County, Mississippi",13234.0,28,005,2018
"Calhoun County, Mississippi",15559.0,28,013,2018
"Tishomingo County, Mississippi",13225.0,28,141,2018
"Wayne County, Mississippi",12995.0,28,153,2018
"Austin County, Texas",16258.0,48,015,2018
"Kenedy County, Texas",-666666666.0,48,261,2018
"Nueces County, Texas",23626.0,48,355,2018
"Colorado County, Texas",24026.0,48,089,2018
"San Patricio County, Texas",17080.0,48,409,2018
