NAME,B19301D_001E,state,county,year
"Sussex County, Virginia",30566.0,51,183,2019
"Manassas city, Virginia",35133.0,51,683,2019
"Salem city, Virginia",31398.0,51,775,2019
"Charlotte County, Virginia",34598.0,51,037,2019
"Greensville County, Virginia",,51,081,2019
"Thurston County, Washington",29613.0,53,067,2019
"Columbia County, Washington",14144.0,53,013,2019
"Guayanilla Municipio, Puerto Rico",4715.0,72,059,2019
"Sabana Grande Municipio, Puerto Rico",-666666666.0,72,121,2019
"Hormigueros Municipio, Puerto Rico",-666666666.0,72,067,2019
"Utuado Municipio, Puerto Rico",,72,141,2019
"Florida Municipio, Puerto Rico",,72,054,2019
"Moca Municipio, Puerto Rico",,72,099,2019
"Salinas Municipio, Puerto Rico",,72,123,2019
"Mississippi County, Missouri",,29,133,2019
"Ozark County, Missouri",,29,153,2019
"Bollinger County, Missouri",18098.0,29,017,2019
"Sumner County, Tennessee",48404.0,47,165,2019
"Trousdale County, Tennessee",,47,169,2019
"Clay County, Tennessee",,47,027,2019
"Moultrie County, Illinois",,17,139,2019
"Pike County, Illinois",33814.0,17,149,2019
"Pope County, Illinois",36208.0,17,151,2019
"St. Clair County, Illinois",26275.0,17,163,2019
"Shelby County, Illinois",41378.0,17,173,2019
"Champaign County, Illinois",23375.0,17,019,2019
"Calhoun County, Illinois",,17,013,2019
"Ford County, Illinois",45431.0,17,053,2019
"Kane County, Illinois",39545.0,17,089,2019
"Kendall County, Illinois",30400.0,17,093,2019
"Brown County, Illinois",-666666666.0,17,009,2019
"Marion County, Illinois",36937.0,17,121,2019
"Mason County, Illinois",,17,125,2019
"Iroquois County, Illinois",117999.0,17,075,2019
"Clay County, Illinois",40662.0,17,025,2019
"Gallatin County, Illinois",,17,059,2019
"Monroe County, Illinois",33482.0,17,133,2019
"Union County, Illinois",13832.0,17,181,2019
"Winnebago County, Illinois",34848.0,17,201,2019
"Pulaski County, Illinois",,17,153,2019
"Schuyler County, Illinois",-666666666.0,17,169,2019
"Edgar County, Illinois",24213.0,17,045,2019
"Boone County, Illinois",38395.0,17,007,2019
"Bureau County, Illinois",22681.0,17,011,2019
"Coles County, Illinois",40878.0,17,029,2019
"Crawford County, Illinois",159067.0,17,033,2019
"Putnam County, Illinois",37996.0,17,155,2019
"De Witt County, Illinois",22375.0,17,039,2019
"Lee County, Illinois",74917.0,17,103,2019
"Macoupin County, Illinois",30567.0,17,117,2019
"Richland County, Illinois",18868.0,17,159,2019
"Washington County, Illinois",36329.0,17,189,2019
"Washington County, Oregon",48215.0,41,067,2019
"Clatsop County, Oregon",40304.0,41,007,2019
"Cameron County, Pennsylvania",28872.0,42,023,2019
"Bucks County, Pennsylvania",44011.0,42,017,2019
"Lehigh County, Pennsylvania",39069.0,42,077,2019
"Clarion County, Pennsylvania",16487.0,42,031,2019
"Greene County, Pennsylvania",21368.0,42,059,2019
"Luzerne County, Pennsylvania",37491.0,42,079,2019
"Columbia County, Pennsylvania",29692.0,42,037,2019
"Jefferson County, Pennsylvania",26248.0,42,065,2019
"Perry County, Pennsylvania",43849.0,42,099,2019
"Sullivan County, Pennsylvania",,42,113,2019
"Kent County, Rhode Island",41440.0,44,003,2019
"Washington County, Rhode Island",43088.0,44,009,2019
"Newberry County, South Carolina",22068.0,45,071,2019
"Clarendon County, South Carolina",19816.0,45,027,2019
"Sumter County, South Carolina",21716.0,45,085,2019
"Barnwell County, South Carolina",,45,011,2019
"Darlington County, South Carolina",38859.0,45,031,2019
"York County, South Carolina",37343.0,45,091,2019
"Cherokee County, South Carolina",13573.0,45,021,2019
"Jasper County, South Carolina",16411.0,45,053,2019
"Lee County, South Carolina",,45,061,2019
"Abbeville County, South Carolina",14992.0,45,001,2019
"Lyman County, South Dakota",,46,085,2019
"Deuel County, South Dakota",-666666666.0,46,039,2019
"Glenn County, California",18359.0,06,021,2019
"Butte County, California",20005.0,06,007,2019
"Kings County, California",38361.0,06,031,2019
"Plumas County, California",8806.0,06,063,2019
"San Luis Obispo County, California",32505.0,06,079,2019
"Fresno County, California",25579.0,06,019,2019
"Kern County, California",32317.0,06,029,2019
"Orange County, California",40398.0,06,059,2019
"Ventura County, California",46573.0,06,111,2019
"Calaveras County, California",27291.0,06,009,2019
"Sutter County, California",23852.0,06,101,2019
"San Mateo County, California",61519.0,06,081,2019
"Tuolumne County, California",22755.0,06,109,2019
"San Joaquin County, California",28889.0,06,077,2019
"Amador County, California",33239.0,06,005,2019
"Phillips County, Colorado",,08,095,2019
"Archuleta County, Colorado",6070.0,08,007,2019
"Denver County, Colorado",41148.0,08,031,2019
"Kiowa County, Colorado",-666666666.0,08,061,2019
"Huerfano County, Colorado",-666666666.0,08,055,2019
"Baca County, Colorado",-666666666.0,08,009,2019
"Gilpin County, Colorado",-666666666.0,08,047,2019
"Kit Carson County, Colorado",12629.0,08,063,2019
"Gunnison County, Colorado",,08,051,2019
"Mineral County, Colorado",,08,079,2019
"Ouray County, Colorado",,08,091,2019
"Sedgwick County, Colorado",32927.0,08,115,2019
"Weld County, Colorado",30201.0,08,123,2019
"Custer County, Colorado",-666666666.0,08,027,2019
"Costilla County, Colorado",29019.0,08,023,2019
"Douglas County, Colorado",53877.0,08,035,2019
"Lake County, Colorado",24006.0,08,065,2019
"La Plata County, Colorado",19104.0,08,067,2019
"Pitkin County, Colorado",15099.0,08,097,2019
"Rio Grande County, Colorado",,08,105,2019
"Bent County, Colorado",,08,011,2019
"Crowley County, Colorado",21350.0,08,025,2019
"San Juan County, Colorado",-666666666.0,08,111,2019
"Larimer County, Colorado",36032.0,08,069,2019
"Logan County, Colorado",32769.0,08,075,2019
"San Miguel County, Colorado",43264.0,08,113,2019
"Teller County, Colorado",35967.0,08,119,2019
"Elbert County, Colorado",65546.0,08,039,2019
"Las Animas County, Colorado",28502.0,08,071,2019
"Lincoln County, Colorado",20248.0,08,073,2019
"Summit County, Colorado",38396.0,08,117,2019
"Alamosa County, Colorado",28577.0,08,003,2019
"Delta County, Colorado",21075.0,08,029,2019
"Fremont County, Colorado",7788.0,08,043,2019
"Montrose County, Colorado",20758.0,08,085,2019
"Morgan County, Colorado",20497.0,08,087,2019
"Saguache County, Colorado",-666666666.0,08,109,2019
"Prowers County, Colorado",8543.0,08,099,2019
"Washington County, Colorado",,08,121,2019
"Grand County, Colorado",14210.0,08,049,2019
"Otero County, Colorado",22923.0,08,089,2019
"Broomfield County, Colorado",54721.0,08,014,2019
"Sussex County, Delaware",35909.0,10,005,2019
"District of Columbia, District of Columbia",70434.0,11,001,2019
"New Haven County, Connecticut",43450.0,09,009,2019
"Hartford County, Connecticut",45380.0,09,003,2019
"Shelby County, Tennessee",37246.0,47,157,2019
"Henderson County, Tennessee",,47,077,2019
"Jefferson County, Tennessee",13583.0,47,089,2019
"Sequatchie County, Tennessee",-666666666.0,47,153,2019
"Carroll County, Tennessee",7324.0,47,017,2019
"Davidson County, Tennessee",35145.0,47,037,2019
"Perry County, Tennessee",9948.0,47,135,2019
"Meigs County, Tennessee",,47,121,2019
"Haywood County, Tennessee",,47,075,2019
"Montgomery County, Tennessee",21551.0,47,125,2019
"Grundy County, Tennessee",12454.0,47,061,2019
"Cocke County, Tennessee",,47,029,2019
"DeKalb County, Tennessee",21781.0,47,041,2019
"Lewis County, Tennessee",12170.0,47,101,2019
"Obion County, Tennessee",12276.0,47,131,2019
"Tipton County, Tennessee",41503.0,47,167,2019
"Dyer County, Tennessee",35444.0,47,045,2019
"Hamilton County, Tennessee",36606.0,47,065,2019
"Polk County, Tennessee",15347.0,47,139,2019
"White County, Tennessee",,47,185,2019
"Sullivan County, Tennessee",46363.0,47,163,2019
"Schoharie County, New York",25823.0,36,095,2019
"Fulton County, New York",38345.0,36,035,2019
"Rensselaer County, New York",25892.0,36,083,2019
"Franklin County, New York",22634.0,36,033,2019
"Queens County, New York",28939.0,36,081,2019
"Washington County, New York",37629.0,36,115,2019
"New York County, New York",72504.0,36,061,2019
"Cayuga County, New York",29510.0,36,011,2019
"Rockland County, New York",48283.0,36,087,2019
"Niagara County, New York",22639.0,36,063,2019
"Essex County, New York",36894.0,36,031,2019
"Nassau County, New York",49608.0,36,059,2019
"Schuyler County, New York",13150.0,36,097,2019
"Chenango County, New York",16448.0,36,017,2019
"Jefferson County, New York",26476.0,36,045,2019
"Suffolk County, New York",41585.0,36,103,2019
"Wyoming County, New York",18554.0,36,121,2019
"Oswego County, New York",30325.0,36,075,2019
"Wayne County, New York",33615.0,36,117,2019
"Broome County, New York",24388.0,36,007,2019
"Hinsdale County, Colorado",,08,053,2019
"Erie County, New York",27379.0,36,029,2019
"Sullivan County, New York",25119.0,36,105,2019
"Orange County, New York",43012.0,36,071,2019
"Haywood County, North Carolina",35791.0,37,087,2019
"Forsyth County, North Carolina",32094.0,37,067,2019
"Lake County, Indiana",36732.0,18,089,2019
"Montgomery County, Indiana",32991.0,18,107,2019
"Adams County, Indiana",50199.0,18,001,2019
"Fayette County, Indiana",,18,041,2019
"Clay County, Indiana",35870.0,18,021,2019
"Dubois County, Indiana",11540.0,18,037,2019
"Franklin County, Indiana",,18,047,2019
"Hancock County, Indiana",49862.0,18,059,2019
"Howard County, Indiana",34418.0,18,067,2019
"Ohio County, Indiana",18754.0,18,115,2019
"Parke County, Indiana",-666666666.0,18,121,2019
"Randolph County, Indiana",,18,135,2019
"Benton County, Indiana",,18,007,2019
"Brown County, Indiana",12325.0,18,013,2019
"Putnam County, Indiana",26929.0,18,133,2019
"Washington County, Indiana",18025.0,18,175,2019
"Daviess County, Indiana",21312.0,18,027,2019
"Henry County, Indiana",22670.0,18,065,2019
"Knox County, Indiana",31674.0,18,083,2019
"Madison County, Indiana",24522.0,18,095,2019
"Pike County, Indiana",,18,125,2019
"Pulaski County, Indiana",,18,131,2019
"Steuben County, Indiana",24945.0,18,151,2019
"Laramie County, Wyoming",38228.0,56,021,2019
"Teton County, Wyoming",12560.0,56,039,2019
"San Jacinto County, Texas",,48,407,2019
"Upshur County, Texas",11467.0,48,459,2019
"Waller County, Texas",40035.0,48,473,2019
"Wilson County, Texas",3343.0,48,493,2019
"Hockley County, Texas",31525.0,48,219,2019
"Midland County, Texas",39711.0,48,329,2019
"Llano County, Texas",,48,299,2019
"Fannin County, Texas",8146.0,48,147,2019
"Brazos County, Texas",23424.0,48,041,2019
"Gaines County, Texas",36819.0,48,165,2019
"Gray County, Texas",11659.0,48,179,2019
"Jack County, Texas",27778.0,48,237,2019
"Bosque County, Texas",17270.0,48,035,2019
"Bexar County, Texas",33447.0,48,029,2019
"Baylor County, Texas",-666666666.0,48,023,2019
"Denton County, Texas",41428.0,48,121,2019
"Galveston County, Texas",41138.0,48,167,2019
"Roberts County, Texas",-666666666.0,48,393,2019
"Uvalde County, Texas",9761.0,48,463,2019
"Bowie County, Texas",59943.0,48,037,2019
"Kent County, Texas",-666666666.0,48,263,2019
"Somervell County, Texas",,48,425,2019
"Hardin County, Texas",19029.0,48,199,2019
