NAME,B19301A_001E,state,county,year
"San Joaquin County, California",30531.0,06,077,2019
"Amador County, California",34736.0,06,005,2019
"Phillips County, Colorado",26185.0,08,095,2019
"Archuleta County, Colorado",33920.0,08,007,2019
"Denver County, Colorado",48863.0,08,031,2019
"Kiowa County, Colorado",26156.0,08,061,2019
"Huerfano County, Colorado",25578.0,08,055,2019
"Baca County, Colorado",24336.0,08,009,2019
"Gilpin County, Colorado",51659.0,08,047,2019
"Kit Carson County, Colorado",29264.0,08,063,2019
"Gunnison County, Colorado",33015.0,08,051,2019
"Mineral County, Colorado",36046.0,08,079,2019
"Ouray County, Colorado",41891.0,08,091,2019
"Sedgwick County, Colorado",27725.0,08,115,2019
"Weld County, Colorado",32647.0,08,123,2019
"Custer County, Colorado",30833.0,08,027,2019
"Costilla County, Colorado",22155.0,08,023,2019
"Douglas County, Colorado",54435.0,08,035,2019
"Lake County, Colorado",31609.0,08,065,2019
"La Plata County, Colorado",41517.0,08,067,2019
"Pitkin County, Colorado",58395.0,08,097,2019
"Rio Grande County, Colorado",25212.0,08,105,2019
"Bent County, Colorado",14647.0,08,011,2019
"Crowley County, Colorado",15619.0,08,025,2019
"San Juan County, Colorado",34009.0,08,111,2019
"Larimer County, Colorado",38491.0,08,069,2019
"Logan County, Colorado",28050.0,08,075,2019
"San Miguel County, Colorado",48735.0,08,113,2019
"Teller County, Colorado",35634.0,08,119,2019
"Elbert County, Colorado",45446.0,08,039,2019
"Las Animas County, Colorado",26819.0,08,071,2019
"Lincoln County, Colorado",18200.0,08,073,2019
"Summit County, Colorado",42196.0,08,117,2019
"Alamosa County, Colorado",22631.0,08,003,2019
"Delta County, Colorado",27145.0,08,029,2019
"Fremont County, Colorado",24535.0,08,043,2019
"Montrose County, Colorado",28704.0,08,085,2019
"Morgan County, Colorado",25600.0,08,087,2019
"Saguache County, Colorado",22968.0,08,109,2019
"Prowers County, Colorado",24285.0,08,099,2019
"Washington County, Colorado",28517.0,08,121,2019
"Grand County, Colorado",38625.0,08,049,2019
"Otero County, Colorado",21771.0,08,089,2019
"Broomfield County, Colorado",51349.0,08,014,2019
"Sussex County, Delaware",38531.0,10,005,2019
"District of Columbia, District of Columbia",88596.0,11,001,2019
"New Haven County, Connecticut",42559.0,09,009,2019
"Hartford County, Connecticut",46182.0,09,003,2019
"Shelby County, Tennessee",44427.0,47,157,2019
"Henderson County, Tennessee",23416.0,47,077,2019
"Jefferson County, Tennessee",25696.0,47,089,2019
"Sequatchie County, Tennessee",23268.0,47,153,2019
"Carroll County, Tennessee",23116.0,47,017,2019
"Davidson County, Tennessee",42792.0,47,037,2019
"Perry County, Tennessee",29241.0,47,135,2019
"Meigs County, Tennessee",24599.0,47,121,2019
"Haywood County, Tennessee",24924.0,47,075,2019
"Montgomery County, Tennessee",29123.0,47,125,2019
"Grundy County, Tennessee",21174.0,47,061,2019
"Cocke County, Tennessee",21326.0,47,029,2019
"DeKalb County, Tennessee",25530.0,47,041,2019
"Lewis County, Tennessee",21942.0,47,101,2019
"Obion County, Tennessee",25275.0,47,131,2019
"Tipton County, Tennessee",30286.0,47,167,2019
"Dyer County, Tennessee",29666.0,47,045,2019
"Hamilton County, Tennessee",36721.0,47,065,2019
"Polk County, Tennessee",25729.0,47,139,2019
"White County, Tennessee",22192.0,47,185,2019
"Sullivan County, Tennessee",28941.0,47,163,2019
"Schoharie County, New York",31024.0,36,095,2019
"Fulton County, New York",28005.0,36,035,2019
"Rensselaer County, New York",38403.0,36,083,2019
"Franklin County, New York",28592.0,36,033,2019
"Queens County, New York",39161.0,36,081,2019
"Washington County, New York",29615.0,36,115,2019
"New York County, New York",104222.0,36,061,2019
"Cayuga County, New York",32257.0,36,011,2019
"Rockland County, New York",42412.0,36,087,2019
"Niagara County, New York",32986.0,36,063,2019
"Essex County, New York",32933.0,36,031,2019
"Nassau County, New York",58507.0,36,059,2019
"Schuyler County, New York",27894.0,36,097,2019
"Chenango County, New York",27536.0,36,017,2019
"Jefferson County, New York",27293.0,36,045,2019
"Suffolk County, New York",48027.0,36,103,2019
"Wyoming County, New York",29541.0,36,121,2019
"Oswego County, New York",29173.0,36,075,2019
"Wayne County, New York",32032.0,36,117,2019
"Broome County, New York",30583.0,36,007,2019
"Hinsdale County, Colorado",34941.0,08,053,2019
"Erie County, New York",37353.0,36,029,2019
"Sullivan County, New York",33560.0,36,105,2019
"Orange County, New York",37418.0,36,071,2019
"Haywood County, North Carolina",30824.0,37,087,2019
"Forsyth County, North Carolina",36165.0,37,067,2019
"Lake County, Indiana",33958.0,18,089,2019
"Montgomery County, Indiana",27634.0,18,107,2019
"Adams County, Indiana",23565.0,18,001,2019
"Fayette County, Indiana",24399.0,18,041,2019
"Clay County, Indiana",26598.0,18,021,2019
"Dubois County, Indiana",31236.0,18,037,2019
"Franklin County, Indiana",29670.0,18,047,2019
"Hancock County, Indiana",34215.0,18,059,2019
"Howard County, Indiana",29198.0,18,067,2019
"Ohio County, Indiana",30897.0,18,115,2019
"Parke County, Indiana",23319.0,18,121,2019
"Randolph County, Indiana",25738.0,18,135,2019
"Benton County, Indiana",25436.0,18,007,2019
"Brown County, Indiana",35040.0,18,013,2019
"Putnam County, Indiana",26709.0,18,133,2019
"Washington County, Indiana",25082.0,18,175,2019
"Daviess County, Indiana",24435.0,18,027,2019
"Henry County, Indiana",25210.0,18,065,2019
"Knox County, Indiana",26706.0,18,083,2019
"Madison County, Indiana",26818.0,18,095,2019
"Pike County, Indiana",26207.0,18,125,2019
"Pulaski County, Indiana",25767.0,18,131,2019
"Steuben County, Indiana",30500.0,18,151,2019
"Laramie County, Wyoming",35864.0,56,021,2019
"Teton County, Wyoming",57835.0,56,039,2019
"San Jacinto County, Texas",24311.0,48,407,2019
"Upshur County, Texas",26389.0,48,459,2019
"Waller County, Texas",33525.0,48,473,2019
