NAME,B19301E_001E,state,county,year
"Montgomery County, Indiana",,18,107,2019
"Adams County, Indiana",-666666666.0,18,001,2019
"Fayette County, Indiana",-666666666.0,18,041,2019
"Clay County, Indiana",,18,021,2019
"Dubois County, Indiana",-666666666.0,18,037,2019
"Franklin County, Indiana",-666666666.0,18,047,2019
"Hancock County, Indiana",-666666666.0,18,059,2019
"Howard County, Indiana",,18,067,2019
"Ohio County, Indiana",-666666666.0,18,115,2019
"Parke County, Indiana",-666666666.0,18,121,2019
"Randolph County, Indiana",-666666666.0,18,135,2019
"Benton County, Indiana",,18,007,2019
"Brown County, Indiana",-666666666.0,18,013,2019
"Putnam County, Indiana",,18,133,2019
"Washington County, Indiana",-666666666.0,18,175,2019
"Daviess County, Indiana",,18,027,2019
"Henry County, Indiana",,18,065,2019
"Knox County, Indiana",,18,083,2019
"Madison County, Indiana",,18,095,2019
"Pike County, Indiana",-666666666.0,18,125,2019
"Pulaski County, Indiana",,18,131,2019
"Steuben County, Indiana",,18,151,2019
"Laramie County, Wyoming",16731.0,56,021,2019
"Teton County, Wyoming",,56,039,2019
"San Jacinto County, Texas",,48,407,2019
"Upshur County, Texas",-666666666.0,48,459,2019
"Waller County, Texas",,48,473,2019
"Wilson County, Texas",,48,493,2019
"Hockley County, Texas",,48,219,2019
"Midland County, Texas",26957.0,48,329,2019
"Llano County, Texas",-666666666.0,48,299,2019
"Fannin County, Texas",,48,147,2019
"Brazos County, Texas",23648.0,48,041,2019
"Gaines County, Texas",,48,165,2019
"Gray County, Texas",,48,179,2019
"Jack County, Texas",-666666666.0,48,237,2019
"Bosque County, Texas",-666666666.0,48,035,2019
"Bexar County, Texas",30623.0,48,029,2019
"Baylor County, Texas",,48,023,2019
"Denton County, Texas",28766.0,48,121,2019
"Galveston County, Texas",21900.0,48,167,2019
"Roberts County, Texas",-666666666.0,48,393,2019
"Uvalde County, Texas",,48,463,2019
"Bowie County, Texas",3736.0,48,037,2019
"Kent County, Texas",-666666666.0,48,263,2019
"Somervell County, Texas",,48,425,2019
"Hardin County, Texas",-666666666.0,48,199,2019
"Leon County, Texas",,48,289,2019
"Newton County, Texas",-666666666.0,48,351,2019
"Reeves County, Texas",17914.0,48,389,2019
"Travis County, Texas",65217.0,48,453,2019
"Collingsworth County, Texas",-666666666.0,48,087,2019
"Erath County, Texas",,48,143,2019
"Motley County, Texas",-666666666.0,48,345,2019
"Coleman County, Texas",,48,083,2019
"Medina County, Texas",,48,325,2019
"Henderson County, Texas",,48,213,2019
"Lamar County, Texas",36765.0,48,277,2019
"Kimble County, Texas",-666666666.0,48,267,2019
