NAME,B19301A_001E,state,county,year,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,B19301H_001E,B19301I_001E,B19301_001E
"Pike County, Missouri",23370.0,29,163,2018,14387.0,5400.0,9471.0,,21146.0,10047.0,23532.0,12074.0,22302.0
"St. Charles County, Missouri",38110.0,29,183,2018,31004.0,35643.0,36986.0,36150.0,20471.0,20164.0,38563.0,24296.0,37229.0
"Custer County, Montana",30837.0,30,17,2018,6656.0,11612.0,17226.0,,,29388.0,30903.0,22958.0,30123.0
"Hill County, Montana",27924.0,30,41,2018,22886.0,10597.0,22944.0,,7135.0,14983.0,28088.0,8330.0,23017.0
"Powder River County, Montana",31059.0,30,75,2018,,36940.0,,,,27411.0,31158.0,16400.0,30969.0
"Park County, Montana",32326.0,30,67,2018,,18961.0,,,49355.0,28816.0,32750.0,15881.0,32133.0
"Roosevelt County, Montana",31076.0,30,85,2018,17263.0,10864.0,56071.0,,17062.0,17486.0,31826.0,7315.0,18813.0
"Blaine County, Montana",23367.0,30,5,2018,,13171.0,,,33192.0,9815.0,23389.0,11481.0,18155.0
"Liberty County, Montana",45788.0,30,51,2018,,,,,,,45903.0,25598.0,45587.0
"Richland County, Montana",32351.0,30,83,2018,,31082.0,,,,21841.0,32852.0,21289.0,31849.0
"Teton County, Montana",27589.0,30,99,2018,,41588.0,,,,21104.0,27768.0,12993.0,27402.0
"Toole County, Montana",27697.0,30,101,2018,,10700.0,11860.0,,,25567.0,27979.0,18393.0,26434.0
"Fallon County, Montana",34199.0,30,25,2018,,324.0,,,,57140.0,34523.0,12010.0,34329.0
"Daniels County, Montana",35025.0,30,19,2018,,,,,,,34787.0,39654.0,34799.0
"Judith Basin County, Montana",30290.0,30,45,2018,,19306.0,,,,,30582.0,10648.0,29827.0
"Silver Bow County, Montana",27073.0,30,93,2018,11567.0,9439.0,17820.0,,17156.0,13200.0,27506.0,16896.0,26224.0
"Deer Lodge County, Montana",26622.0,30,23,2018,23356.0,7469.0,51116.0,,10166.0,9497.0,27230.0,6736.0,25742.0
"Jefferson County, Montana",32787.0,30,43,2018,,14683.0,,,5594.0,21318.0,33021.0,18869.0,32133.0
"McCone County, Montana",27253.0,30,55,2018,,17619.0,,,,,28073.0,5066.0,27365.0
"Wheatland County, Montana",21602.0,30,107,2018,,25241.0,,,,,21769.0,24991.0,21442.0
"Rosebud County, Montana",30162.0,30,87,2018,,12314.0,3391.0,,50742.0,32718.0,31319.0,17659.0,23471.0
"Carter County, Montana",32447.0,30,11,2018,,,,,,9646.0,32519.0,,32001.0
"Dawson County, Montana",33687.0,30,21,2018,6844.0,10120.0,,,18916.0,14608.0,34011.0,20504.0,32501.0
"Broadwater County, Montana",32660.0,30,7,2018,,16747.0,,,,19542.0,33157.0,19635.0,32362.0
"Lake County, Montana",29570.0,30,47,2018,19421.0,15812.0,23147.0,23800.0,17047.0,13019.0,30031.0,14036.0,24912.0
"Pondera County, Montana",27135.0,30,73,2018,8527.0,12419.0,28520.0,,,10093.0,27282.0,4183.0,24392.0
"Yellowstone County, Montana",34463.0,30,111,2018,18991.0,17999.0,29741.0,16662.0,19179.0,17522.0,35271.0,17637.0,33007.0
"Ravalli County, Montana",28158.0,30,81,2018,,16111.0,18601.0,,32975.0,18390.0,28492.0,17215.0,27766.0
"Valley County, Montana",31048.0,30,105,2018,,13282.0,,,,16653.0,31210.0,19269.0,28899.0
"Fergus County, Montana",29496.0,30,27,2018,,18575.0,15489.0,,27507.0,45297.0,29326.0,35937.0,29237.0
"Mineral County, Montana",24236.0,30,61,2018,,13763.0,,,,16952.0,24293.0,19985.0,23744.0
"Petroleum County, Montana",32553.0,30,69,2018,,,,,,,32553.0,,32565.0
"Sanders County, Montana",24401.0,30,89,2018,,16492.0,13878.0,,,18995.0,24502.0,17342.0,23822.0
"Flathead County, Montana",30643.0,30,29,2018,25821.0,21806.0,21353.0,7876.0,22146.0,17235.0,30885.0,19284.0,30068.0
"Wibaux County, Montana",23009.0,30,109,2018,,,,,,,23132.0,20196.0,23137.0
"Meagher County, Montana",24296.0,30,59,2018,,40858.0,,,,,24294.0,,23972.0
"Carbon County, Montana",32751.0,30,9,2018,36666.0,31900.0,38214.0,,,17427.0,33170.0,17413.0,32553.0
"Phillips County, Montana",25119.0,30,71,2018,,16876.0,,,,8526.0,25344.0,7183.0,23533.0
"Adams County, Nebraska",29777.0,31,1,2018,9234.0,16075.0,16765.0,,14390.0,15990.0,30953.0,16488.0,28783.0
"Lancaster County, Nebraska",32874.0,31,109,2018,17202.0,18760.0,23993.0,121267.0,16562.0,11955.0,33725.0,17269.0,30929.0
"Boone County, Nebraska",30913.0,31,11,2018,49268.0,,,,13150.0,,31250.0,14583.0,30680.0
"Rock County, Nebraska",34870.0,31,149,2018,,,,,,,35053.0,,34441.0
"Banner County, Nebraska",34667.0,31,7,2018,,,,,,35486.0,36260.0,10169.0,34670.0
"Sherman County, Nebraska",27619.0,31,163,2018,,,6542.0,,22421.0,18518.0,27687.0,23065.0,27380.0
"Richardson County, Nebraska",29278.0,31,147,2018,58541.0,23712.0,,,15381.0,23582.0,29345.0,24706.0,28965.0
"Howard County, Nebraska",27019.0,31,93,2018,6658.0,,42131.0,,18286.0,12936.0,27120.0,17776.0,26651.0
"Holt County, Nebraska",30215.0,31,89,2018,,11410.0,60145.0,,33004.0,2983.0,30913.0,12864.0,29975.0
"Furnas County, Nebraska",27366.0,31,65,2018,,,,,13891.0,17555.0,27676.0,15902.0,27031.0
"Gosper County, Nebraska",34894.0,31,73,2018,,,,,,,35459.0,9667.0,34731.0
"Saline County, Nebraska",24377.0,31,151,2018,15201.0,26416.0,10656.0,,14669.0,7279.0,27217.0,13393.0,22943.0
"Sarpy County, Nebraska",36238.0,31,153,2018,33302.0,25093.0,28478.0,18551.0,17956.0,17932.0,37444.0,20314.0,34928.0
"Thurston County, Nebraska",35301.0,31,173,2018,10368.0,10680.0,9767.0,,,14393.0,37445.0,8725.0,20396.0
"Washington County, Nebraska",34646.0,31,177,2018,20803.0,,28495.0,,26455.0,15231.0,34888.0,23567.0,34178.0
"Boyd County, Nebraska",28093.0,31,15,2018,,20271.0,,,,26933.0,28237.0,,27951.0
"Cherry County, Nebraska",28765.0,31,31,2018,,10075.0,,,,19257.0,29411.0,10604.0,27605.0
"Dodge County, Nebraska",28522.0,31,53,2018,9741.0,10598.0,14991.0,5815.0,12447.0,9946.0,30509.0,11144.0,27494.0
"Fillmore County, Nebraska",33197.0,31,59,2018,10997.0,8441.0,58476.0,,6077.0,11354.0,33923.0,10601.0,32631.0
"Garden County, Nebraska",33948.0,31,69,2018,,,,,,,33847.0,34716.0,33572.0
"Hooker County, Nebraska",26107.0,31,91,2018,,,,,,,25906.0,29514.0,25791.0
"Morrill County, Nebraska",26766.0,31,123,2018,,52214.0,,,22942.0,17390.0,29297.0,13090.0,26461.0
"Nemaha County, Nebraska",28392.0,31,127,2018,13692.0,1564.0,39729.0,,11065.0,13214.0,28697.0,13281.0,27945.0
"Seward County, Nebraska",30989.0,31,159,2018,18112.0,28194.0,9560.0,,28885.0,25702.0,31190.0,28524.0,30694.0
"Thomas County, Nebraska",28683.0,31,171,2018,,,,,,38720.0,28729.0,,28701.0
"Dakota County, Nebraska",26601.0,31,43,2018,16053.0,19006.0,12044.0,,20459.0,28100.0,30160.0,18737.0,24365.0
"Webster County, Nebraska",27754.0,31,181,2018,,,,1320.0,,12269.0,28310.0,14419.0,26970.0
"Antelope County, Nebraska",26791.0,31,3,2018,12685.0,,,,6048.0,3394.0,27081.0,12075.0,26406.0
"Butler County, Nebraska",29102.0,31,23,2018,,39606.0,33164.0,,18271.0,16138.0,29451.0,12481.0,28776.0
"Clay County, Nebraska",27751.0,31,35,2018,,,,,21648.0,8523.0,29065.0,12467.0,27297.0
"Custer County, Nebraska",33671.0,31,41,2018,,,17735.0,,12169.0,33090.0,34116.0,11885.0,33294.0
"Gage County, Nebraska",28701.0,31,67,2018,35698.0,25650.0,15614.0,,15820.0,9087.0,28863.0,19553.0,28438.0
"Hamilton County, Nebraska",32753.0,31,81,2018,,11700.0,,,14074.0,25622.0,33004.0,13347.0,32086.0
"Kearney County, Nebraska",31096.0,31,99,2018,,11168.0,4833.0,,25242.0,6661.0,31752.0,14866.0,30355.0
"Keith County, Nebraska",28922.0,31,101,2018,27140.0,7800.0,10695.0,,19400.0,11331.0,29770.0,16034.0,28410.0
"Madison County, Nebraska",28329.0,31,119,2018,12892.0,13506.0,43217.0,,16171.0,8774.0,30212.0,15349.0,27528.0
"Perkins County, Nebraska",33854.0,31,135,2018,,,,,,5073.0,34661.0,13280.0,33749.0
"Saunders County, Nebraska",32808.0,31,155,2018,11877.0,23590.0,37348.0,,9621.0,10273.0,33129.0,15794.0,32344.0
"Wayne County, Nebraska",28029.0,31,179,2018,5570.0,14704.0,15654.0,,17304.0,10877.0,28724.0,15623.0,27192.0
"Keya Paha County, Nebraska",31641.0,31,103,2018,,,,,,,31641.0,,31406.0
"Knox County, Nebraska",29435.0,31,107,2018,13270.0,12862.0,12770.0,,25707.0,13455.0,29588.0,15080.0,27372.0
"Lincoln County, Nebraska",30417.0,31,111,2018,15522.0,53277.0,28940.0,,30315.0,20264.0,31667.0,16493.0,30073.0
"Pierce County, Nebraska",29459.0,31,139,2018,,21200.0,4553.0,,,38861.0,29638.0,36376.0,29509.0
