NAME,B19202B_001E,state,county,year,B19202C_001E,B19202D_001E,B19202F_001E,B19202G_001E,B19202H_001E,B19202I_001E
"Sussex County, New Jersey",36250.0,34,37,2018,,,,73000.0,53136.0,54808.0
"Cumberland County, New Jersey",20161.0,34,11,2018,14226.0,27589.0,24911.0,23854.0,33839.0,14348.0
"Essex County, New Jersey",28297.0,34,13,2018,26351.0,57500.0,22198.0,21157.0,50429.0,23004.0
"Ocean County, New Jersey",35047.0,34,29,2018,10991.0,38600.0,35306.0,40926.0,36733.0,36337.0
"Gloucester County, New Jersey",26669.0,34,15,2018,,39141.0,33828.0,,42938.0,45438.0
"Salem County, New Jersey",20444.0,34,33,2018,25278.0,,9775.0,41875.0,39041.0,31667.0
"Passaic County, New Jersey",23750.0,34,31,2018,17880.0,80583.0,16466.0,22014.0,46568.0,21662.0
"Camden County, New Jersey",27587.0,34,7,2018,,42063.0,21156.0,36308.0,41469.0,23277.0
"Bergen County, New Jersey",53295.0,34,3,2018,15625.0,55805.0,31108.0,64046.0,48588.0,44865.0
"Warren County, New Jersey",61458.0,34,41,2018,,40530.0,18375.0,31250.0,45892.0,31375.0
"Hudson County, New Jersey",32375.0,34,17,2018,14353.0,87311.0,30727.0,46898.0,73483.0,28277.0
"Burlington County, New Jersey",45224.0,34,5,2018,,55924.0,42578.0,39815.0,48404.0,49421.0
"Morris County, New Jersey",46112.0,34,27,2018,,75337.0,63421.0,49844.0,58397.0,49072.0
"Rio Arriba County, New Mexico",,35,39,2018,,,,,,
"San Miguel County, New Mexico",,35,47,2018,,,13279.0,15956.0,30521.0,14950.0
"Torrance County, New Mexico",,35,57,2018,,,,26926.0,17987.0,23093.0
"Otero County, New Mexico",29107.0,35,35,2018,17647.0,37857.0,16094.0,26597.0,30529.0,19971.0
"Cibola County, New Mexico",,35,6,2018,15777.0,,19792.0,17125.0,25341.0,19358.0
"Guadalupe County, New Mexico",,35,19,2018,,,,,15313.0,18424.0
"Catron County, New Mexico",,35,3,2018,,,,,26912.0,12440.0
"Grant County, New Mexico",18026.0,35,17,2018,2499.0,,,,24145.0,24175.0
"Luna County, New Mexico",,35,29,2018,,,37500.0,,23442.0,12247.0
"McKinley County, New Mexico",,35,31,2018,12530.0,,20769.0,,31504.0,26289.0
"Taos County, New Mexico",,35,55,2018,23929.0,,,,33542.0,15280.0
"Colfax County, New Mexico",,35,7,2018,,,22286.0,8676.0,24770.0,20598.0
"Eddy County, New Mexico",41474.0,35,15,2018,,,,,37176.0,33924.0
"Mora County, New Mexico",,35,33,2018,,,14250.0,,,14206.0
"Quay County, New Mexico",31016.0,35,37,2018,,,15893.0,,21526.0,17557.0
"Lincoln County, New Mexico",,35,27,2018,11527.0,,,44250.0,27201.0,20050.0
"Lea County, New Mexico",19250.0,35,25,2018,,,22596.0,18219.0,33599.0,35908.0
"Santa Fe County, New Mexico",36190.0,35,49,2018,26970.0,42197.0,26142.0,38438.0,47237.0,34248.0
"Sierra County, New Mexico",,35,51,2018,,,25774.0,,20250.0,14375.0
"Socorro County, New Mexico",,35,53,2018,10947.0,17768.0,20000.0,21250.0,27880.0,21523.0
"Doña Ana County, New Mexico",24375.0,35,13,2018,26579.0,43694.0,14713.0,20879.0,27455.0,20123.0
"Schoharie County, New York",9750.0,36,95,2018,,144167.0,51500.0,30750.0,32611.0,39000.0
"Onondaga County, New York",20522.0,36,67,2018,31806.0,19391.0,15431.0,30862.0,38781.0,22857.0
"Clinton County, New York",45769.0,36,19,2018,16121.0,,,,32769.0,48750.0
"Seneca County, New York",,36,99,2018,,,,32792.0,31704.0,
"Putnam County, New York",72353.0,36,79,2018,55966.0,64063.0,36557.0,85795.0,51420.0,45909.0
"Franklin County, New York",41842.0,36,33,2018,,,,,29676.0,15625.0
"Ontario County, New York",37986.0,36,69,2018,,,,25250.0,38201.0,18355.0
"Queens County, New York",38953.0,36,81,2018,35485.0,42516.0,36819.0,48964.0,51397.0,40489.0
"Steuben County, New York",32500.0,36,101,2018,,,31125.0,26667.0,30085.0,31250.0
"Hamilton County, New York",,36,41,2018,,,,,30313.0,
"Washington County, New York",31513.0,36,115,2018,128313.0,,60221.0,20833.0,29783.0,31429.0
"Chautauqua County, New York",16250.0,36,13,2018,82974.0,,18382.0,,27072.0,13789.0
"Kings County, New York",27746.0,36,47,2018,26837.0,56461.0,20369.0,54941.0,60005.0,24910.0
"New York County, New York",27053.0,36,61,2018,36033.0,74663.0,18899.0,53933.0,91862.0,23968.0
"Tioga County, New York",,36,107,2018,,,,51009.0,30407.0,39688.0
"Cayuga County, New York",11274.0,36,11,2018,25750.0,,14211.0,,35677.0,30357.0
"Orleans County, New York",34031.0,36,73,2018,,,21450.0,,35583.0,
"Saratoga County, New York",68150.0,36,91,2018,107644.0,96667.0,91509.0,66667.0,48247.0,49239.0
"Rockland County, New York",39008.0,36,87,2018,250001.0,71116.0,51250.0,46934.0,51800.0,38065.0
"Columbia County, New York",19400.0,36,21,2018,,,,48639.0,38245.0,58092.0
"Lewis County, New York",,36,49,2018,,,,10947.0,34970.0,
"Niagara County, New York",20846.0,36,63,2018,26875.0,33750.0,12813.0,35335.0,32065.0,17284.0
"Westchester County, New York",34169.0,36,119,2018,48833.0,61176.0,31012.0,48523.0,53886.0,37227.0
"Delaware County, New York",,36,25,2018,,,,22813.0,28113.0,37381.0
"Essex County, New York",,36,31,2018,,51250.0,2499.0,18750.0,32955.0,
"Montgomery County, New York",35942.0,36,57,2018,,,25750.0,19091.0,30402.0,20365.0
"Nassau County, New York",42181.0,36,59,2018,,63682.0,36394.0,41836.0,51577.0,43789.0
"Richmond County, New York",25502.0,36,85,2018,,26705.0,14399.0,19375.0,41479.0,26506.0
"Schuyler County, New York",,36,97,2018,,,,,31027.0,
"Tompkins County, New York",24242.0,36,109,2018,,21552.0,10948.0,,38222.0,29716.0
"Chenango County, New York",70769.0,36,17,2018,,,25833.0,,28539.0,18209.0
"Cortland County, New York",24938.0,36,23,2018,,,21598.0,,30819.0,22148.0
"Jefferson County, New York",52468.0,36,45,2018,53571.0,28125.0,41496.0,39167.0,32286.0,40512.0
"Oneida County, New York",21500.0,36,65,2018,37174.0,31442.0,18411.0,19018.0,32464.0,21944.0
"Suffolk County, New York",36763.0,36,103,2018,27344.0,62446.0,36197.0,57639.0,49968.0,41733.0
"Wyoming County, New York",,36,121,2018,,,96326.0,,32004.0,
"Chemung County, New York",14133.0,36,15,2018,,79494.0,18654.0,20417.0,31037.0,20428.0
"Oswego County, New York",,36,75,2018,,43036.0,18877.0,23508.0,32640.0,19597.0
"Otsego County, New York",53188.0,36,77,2018,48125.0,51250.0,27857.0,50195.0,31375.0,27171.0
"Wayne County, New York",25938.0,36,117,2018,,,,19514.0,33151.0,23142.0
"Albany County, New York",28210.0,36,1,2018,,40711.0,35026.0,32500.0,45159.0,32155.0
"Broome County, New York",20675.0,36,7,2018,14167.0,11154.0,,19063.0,30880.0,21159.0
"Erie County, New York",20823.0,36,29,2018,14760.0,36804.0,13953.0,20938.0,37177.0,18878.0
"Madison County, New York",63345.0,36,53,2018,,,,35417.0,33962.0,54176.0
