NAME,B23025_001E,state,county,year,B23025_007E,B23025_005E,B23025_004E,B23025_003E,B23025_002E
"Harlan County, Nebraska",2772.0,31,83,2018,1102.0,24.0,1646.0,1670.0,1670.0
"Blaine County, Nebraska",383.0,31,9,2018,119.0,0.0,264.0,264.0,264.0
"Buffalo County, Nebraska",38723.0,31,19,2018,10174.0,847.0,27694.0,28541.0,28549.0
"Deuel County, Nebraska",1535.0,31,49,2018,560.0,47.0,928.0,975.0,975.0
"Hitchcock County, Nebraska",2276.0,31,87,2018,905.0,56.0,1315.0,1371.0,1371.0
"Platte County, Nebraska",25518.0,31,141,2018,7094.0,700.0,17724.0,18424.0,18424.0
"Thayer County, Nebraska",4081.0,31,169,2018,1446.0,28.0,2607.0,2635.0,2635.0
"Box Butte County, Nebraska",8596.0,31,13,2018,2974.0,290.0,5332.0,5622.0,5622.0
"Churchill County, Nevada",19017.0,32,1,2018,8213.0,722.0,9320.0,10042.0,10804.0
"Douglas County, Nevada",40551.0,32,5,2018,18440.0,1137.0,20933.0,22070.0,22111.0
"Pershing County, Nevada",5656.0,32,27,2018,3482.0,152.0,2022.0,2174.0,2174.0
"Esmeralda County, Nevada",794.0,32,9,2018,399.0,7.0,388.0,395.0,395.0
"Humboldt County, Nevada",12757.0,32,13,2018,3734.0,477.0,8539.0,9016.0,9023.0
"Mineral County, Nevada",3755.0,32,21,2018,1723.0,300.0,1732.0,2032.0,2032.0
"White Pine County, Nevada",7907.0,32,33,2018,4105.0,146.0,3656.0,3802.0,3802.0
"Elko County, Nevada",39395.0,32,7,2018,11970.0,1244.0,26171.0,27415.0,27425.0
"Lincoln County, Nevada",4434.0,32,17,2018,2440.0,212.0,1782.0,1994.0,1994.0
"Nye County, Nevada",37085.0,32,23,2018,20796.0,1527.0,14762.0,16289.0,16289.0
"Storey County, Nevada",3416.0,32,29,2018,1649.0,75.0,1664.0,1739.0,1767.0
"Washoe County, Nevada",362418.0,32,31,2018,122861.0,13459.0,225689.0,239148.0,239557.0
"Clark County, Nevada",1692284.0,32,3,2018,604133.0,78287.0,1003320.0,1081607.0,1088151.0
"Carson City, Nevada",44658.0,32,510,2018,17877.0,1654.0,25098.0,26752.0,26781.0
"Lyon County, Nevada",42956.0,32,19,2018,18803.0,2083.0,21969.0,24052.0,24153.0
"Cheshire County, New Hampshire",64173.0,33,5,2018,22412.0,1591.0,40161.0,41752.0,41761.0
"Merrimack County, New Hampshire",124014.0,33,13,2018,41780.0,3175.0,78874.0,82049.0,82234.0
"Grafton County, New Hampshire",76790.0,33,9,2018,28428.0,1624.0,46707.0,48331.0,48362.0
"Rockingham County, New Hampshire",252426.0,33,15,2018,71659.0,6706.0,173214.0,179920.0,180767.0
"Belknap County, New Hampshire",50699.0,33,1,2018,18213.0,1511.0,30946.0,32457.0,32486.0
"Sullivan County, New Hampshire",35744.0,33,19,2018,13603.0,826.0,21315.0,22141.0,22141.0
"Hillsborough County, New Hampshire",335710.0,33,11,2018,100384.0,10214.0,224741.0,234955.0,235326.0
"Strafford County, New Hampshire",106617.0,33,17,2018,33465.0,2983.0,69879.0,72862.0,73152.0
"Coos County, New Hampshire",27423.0,33,7,2018,11972.0,869.0,14544.0,15413.0,15451.0
"Carroll County, New Hampshire",41221.0,33,3,2018,16662.0,893.0,23636.0,24529.0,24559.0
"Monmouth County, New Jersey",506127.0,34,25,2018,172609.0,17324.0,315831.0,333155.0,333518.0
"Sussex County, New Jersey",117248.0,34,37,2018,37189.0,4598.0,75439.0,80037.0,80059.0
