NAME,B19113A_001E,state,county,year,B19113B_001E,B19113C_001E,B19113D_001E,B19113E_001E,B19113F_001E,B19113G_001E,B19113H_001E
"Hillsborough County, New Hampshire",97125.0,33,11,2018,51149.0,58344.0,111046.0,,73047.0,74145.0,100033.0
"Strafford County, New Hampshire",89484.0,33,17,2018,73489.0,,71333.0,,48056.0,78622.0,90054.0
"Coos County, New Hampshire",60992.0,33,7,2018,,68125.0,,,,,60973.0
"Carroll County, New Hampshire",71639.0,33,3,2018,,,,,,79531.0,71313.0
"Monmouth County, New Jersey",124535.0,34,25,2018,62952.0,99583.0,158106.0,,51033.0,96298.0,127252.0
"Sussex County, New Jersey",105943.0,34,37,2018,98942.0,,149375.0,,70393.0,110893.0,106108.0
"Cumberland County, New Jersey",67486.0,34,11,2018,48530.0,53813.0,84653.0,,37962.0,74342.0,77539.0
"Essex County, New Jersey",119437.0,34,13,2018,52450.0,40313.0,137818.0,,40556.0,81171.0,142903.0
"Ocean County, New Jersey",86232.0,34,29,2018,67653.0,,107313.0,,53608.0,71953.0,86971.0
"Gloucester County, New Jersey",106393.0,34,15,2018,76528.0,208833.0,119832.0,,56154.0,56806.0,106570.0
"Salem County, New Jersey",93211.0,34,33,2018,40000.0,,57065.0,,,,98370.0
"Passaic County, New Jersey",95185.0,34,31,2018,52548.0,72061.0,106452.0,,44783.0,55532.0,110943.0
"Camden County, New Jersey",97452.0,34,7,2018,56057.0,30714.0,96920.0,,37849.0,67602.0,101437.0
"Bergen County, New Jersey",122436.0,34,3,2018,84086.0,84167.0,117878.0,155481.0,64617.0,100397.0,133140.0
"Warren County, New Jersey",99756.0,34,41,2018,89242.0,71964.0,119583.0,,47738.0,60179.0,102131.0
"Hudson County, New Jersey",72798.0,34,17,2018,53750.0,54549.0,110374.0,,48539.0,76044.0,109960.0
"Burlington County, New Jersey",107035.0,34,5,2018,83874.0,83750.0,129520.0,,75169.0,71488.0,107897.0
"Morris County, New Jersey",138581.0,34,27,2018,100476.0,78023.0,150187.0,,62011.0,111833.0,144115.0
"Rio Arriba County, New Mexico",,35,39,2018,,,,,,,
"San Miguel County, New Mexico",46872.0,35,47,2018,,,,,33266.0,34583.0,55565.0
"Torrance County, New Mexico",52630.0,35,57,2018,,,,,28542.0,,56360.0
"Otero County, New Mexico",54893.0,35,35,2018,40904.0,33438.0,,,38214.0,58571.0,64173.0
"Cibola County, New Mexico",54295.0,35,6,2018,,37746.0,,,55263.0,,57375.0
"Guadalupe County, New Mexico",39659.0,35,19,2018,,,,,61250.0,,35511.0
"Catron County, New Mexico",50143.0,35,3,2018,,,,,,,53585.0
"Grant County, New Mexico",53362.0,35,17,2018,,,,,52917.0,,61944.0
"Luna County, New Mexico",41954.0,35,29,2018,,,,,,105052.0,53654.0
"McKinley County, New Mexico",65785.0,35,31,2018,95333.0,33091.0,44896.0,,68071.0,,68953.0
"Taos County, New Mexico",48638.0,35,55,2018,,36389.0,,,49009.0,,59839.0
"Colfax County, New Mexico",51120.0,35,7,2018,,14688.0,,,40909.0,47574.0,58512.0
"Eddy County, New Mexico",71012.0,35,15,2018,66155.0,,85972.0,,51864.0,103000.0,81491.0
"Mora County, New Mexico",28712.0,35,33,2018,,,,,33271.0,,
"Quay County, New Mexico",39573.0,35,37,2018,,,71019.0,,33155.0,21458.0,49563.0
"Lincoln County, New Mexico",56458.0,35,27,2018,,,,,,,61693.0
"Lea County, New Mexico",64928.0,35,25,2018,23689.0,69970.0,,,59500.0,92888.0,76338.0
"Santa Fe County, New Mexico",73472.0,35,49,2018,118083.0,51576.0,147917.0,,47712.0,54219.0,93482.0
"Sierra County, New Mexico",42787.0,35,51,2018,,,,,29688.0,51188.0,41566.0
"Socorro County, New Mexico",48093.0,35,53,2018,,19018.0,99583.0,,30000.0,,71250.0
"Doña Ana County, New Mexico",49010.0,35,13,2018,50598.0,,44904.0,,31397.0,44459.0,74570.0
"Schoharie County, New York",68048.0,36,95,2018,73750.0,,95714.0,,,,67932.0
"Onondaga County, New York",84016.0,36,67,2018,35394.0,64219.0,57841.0,,33269.0,56826.0,85050.0
"Clinton County, New York",70931.0,36,19,2018,59531.0,81211.0,56912.0,,,55294.0,70836.0
"Seneca County, New York",68478.0,36,99,2018,,,,,36542.0,,69005.0
"Putnam County, New York",120951.0,36,79,2018,116361.0,,124150.0,,77287.0,92639.0,122740.0
"Franklin County, New York",63774.0,36,33,2018,,63185.0,176563.0,,54261.0,60455.0,63795.0
"Ontario County, New York",82990.0,36,69,2018,28177.0,,86164.0,,40134.0,55481.0,84206.0
